sp	POS	Mean_rho	len	num	spAbbr	spAbbr2	cMmbAvgREC	cMAvgREC	nS	nCall	pi	pi_nvar	theta	tajD	spAbbr3
Gorilla_gorilla_gorilla	1020001	145.0279618	8433	15	GGG	GGG (N=4323)	26.8234260005537	0.22620195146267	26	2885	3.855074	19	0.00149849062796023	-1.15810632996879	GGG (N=4876)
Gorilla_gorilla_gorilla	1030001	66.84437201	12735	22	GGG	GGG (N=4323)	8.18673065063668	0.104258014835858	51	4477	7.971984	34	0.00172797744843962	-1.09403259747997	GGG (N=4876)
Gorilla_gorilla_gorilla	1040001	71.93171421	9307	24	GGG	GGG (N=4323)	12.0546692800944	0.112192806989838	43	4775	7.5816469	40	0.00190604374170968	-0.778853379693614	GGG (N=4876)
Gorilla_gorilla_gorilla	1050001	18.60126493	8958	22	GGG	GGG (N=4323)	3.23873954432184	0.029012628838035	29	2697	7.5304364	27	0.0022778706840927	0.474339761724587	GGG (N=4876)
Gorilla_gorilla_gorilla	1060001	27.32951957	13049	12	GGG	GGG (N=4323)	3.26662566508703	0.0426261983037206	35	2574	3.6270552	16	0.00141435258223212	-1.85738348635059	GGG (N=4876)
Gorilla_gorilla_gorilla	1080001	6.78603114	14612	28	GGG	GGG (N=4323)	0.724353876183792	0.0105842588387976	39	2881	10.1314011	33	0.00260625514231085	0.487189465141168	GGG (N=4876)
Gorilla_gorilla_gorilla	1090001	13.43558486	8029	24	GGG	GGG (N=4323)	2.60999528143325	0.0209556521146276	29	3492	7.8541081	29	0.00188960056653241	0.639080526568558	GGG (N=4876)
Gorilla_gorilla_gorilla	1200001	48.72251683	10246	19	GGG	GGG (N=4323)	7.4168580387887	0.075993127465429	29	3080	6.781643	26	0.00192074131926345	0.093222730405145	GGG (N=4876)
Gorilla_gorilla_gorilla	1220001	2.17898555	8613	10	GGG	GGG (N=4323)	0.394588575317961	0.0033985913992136	15	2730	4.634782	14	0.0011668408803415	1.11339671124036	GGG (N=4876)
Gorilla_gorilla_gorilla	1260001	23.95563957	11182	12	GGG	GGG (N=4323)	3.34143398994405	0.0373639148755544	29	2986	3.7768127	22	0.00167640568542031	-1.4361604126016	GGG (N=4876)
Gorilla_gorilla_gorilla	1290001	10.89357882	11424	11	GGG	GGG (N=4323)	1.48729455994731	0.016990853052838	38	3337	4.6057981	29	0.00197737044600875	-1.60357274236016	GGG (N=4876)
Gorilla_gorilla_gorilla	1300001	114.04263858	14617	10	GGG	GGG (N=4323)	12.1689642086705	0.177873749838136	36	3514	3.4251236	23	0.00148926617766979	-1.98882277209875	GGG (N=4876)
Gorilla_gorilla_gorilla	1380001	89.2085792	11066	7	GGG	GGG (N=4323)	12.5736266440992	0.139139752443602	28	2794	2.647344	11	0.000895803038057452	-1.95670551584384	GGG (N=4876)
Gorilla_gorilla_gorilla	1410001	76.35853079	9934	21	GGG	GGG (N=4323)	11.9888633940622	0.119097368956614	45	2945	5.9188439	32	0.00247235554951816	-1.46408671037836	GGG (N=4876)
Gorilla_gorilla_gorilla	1420001	83.87581387	11138	21	GGG	GGG (N=4323)	11.7455710828666	0.130822170720968	37	2894	8.2695659	28	0.00220143441833607	-0.060694466245516	GGG (N=4876)
Gorilla_gorilla_gorilla	1440001	81.94203214	12596	10	GGG	GGG (N=4323)	10.1465565917608	0.127806026829819	49	2703	2.5652191	18	0.0015152095782459	-2.68501832713591	GGG (N=4876)
Gorilla_gorilla_gorilla	1460001	6.15329545	6929	17	GGG	GGG (N=4323)	1.38510217316843	0.00959737295788408	40	2997	7.2096628	27	0.00204985560059994	-0.715769149730372	GGG (N=4876)
Gorilla_gorilla_gorilla	1480001	11.31817004	9762	19	GGG	GGG (N=4323)	1.80834801925008	0.0176530933639193	36	4924	7.3439622	27	0.00124764769191674	-0.353549390983493	GGG (N=4876)
Gorilla_gorilla_gorilla	1490001	15.0624784	9335	17	GGG	GGG (N=4323)	2.51667258740839	0.0234931386034573	36	3957	6.7053146	23	0.00132253761645985	-0.620047587717889	GGG (N=4876)
Gorilla_gorilla_gorilla	1520001	41.10594608	9768	24	GGG	GGG (N=4323)	6.56362259038429	0.0641134654628738	40	3756	8.9661883	36	0.00218083678913667	-0.0511450667337347	GGG (N=4876)
Gorilla_gorilla_gorilla	1540001	9.0308782	9152	10	GGG	GGG (N=4323)	1.53907072448689	0.014085575270504	22	2614	2.5352672	14	0.00121862111833676	-1.61250766480658	GGG (N=4876)
Gorilla_gorilla_gorilla	1550001	14.77079733	10052	17	GGG	GGG (N=4323)	2.2919021029725	0.0230381999390795	30	2671	5.7826101	26	0.00221485708099267	-0.51489497411331	GGG (N=4876)
